budget,revenue,runtime,vote_average,vote_count,release_date,popularity,id
30000000,373554033,81,7.7,5415,10/30/1995,21.946943,862
65000000,262797249,104,6.9,2413,12/15/1995,17.015539,8844
0,0,101,6.5,92,12/22/1995,11.7129,15602
16000000,81452156,127,6.1,34,12/22/1995,3.859495,31357
0,76578911,106,5.7,173,2/10/1995,8.387519,11862
60000000,187436818,170,7.7,1886,12/15/1995,17.924927,949
58000000,0,127,6.2,141,12/15/1995,6.677277,11860
0,0,97,5.4,45,12/22/1995,2.561161,45325
35000000,64350171,106,5.5,174,12/22/1995,5.23158,9091
58000000,352194034,130,6.6,1194,11/16/1995,14.686036,710
62000000,107879496,106,6.5,199,11/17/1995,6.318445,9087
0,0,88,5.7,210,12/22/1995,5.430331,12110
0,11348324,78,7.1,423,12/22/1995,12.140733,21032
44000000,13681765,192,7.1,72,12/22/1995,5.092,10858
98000000,10017322,119,5.7,137,12/22/1995,7.284477,1408
52000000,116112375,178,7.8,1343,11/22/1995,10.137389,524
16500000,135000000,136,7.2,364,12/13/1995,10.673167,4584
4000000,4300000,98,6.5,539,12/9/1995,9.026586,5
30000000,212385533,90,6.1,1128,11/10/1995,8.205448,9273
60000000,35431113,103,5.4,224,11/21/1995,7.337906,11517
30250000,115101622,105,6.4,305,10/20/1995,12.669608,8012
0,0,124,6.5,199,10/27/1995,10.701801,1710
50000000,30303072,132,6,394,10/6/1995,11.065939,9691
0,0,111,6.3,143,10/27/1995,12.133094,12665
3600000,49800000,112,7.1,365,10/27/1995,10.332025,451
0,0,123,7,33,12/15/1995,1.845899,16420
12000000,27400000,100,6.6,91,10/20/1995,8.681325,9263
0,0,104,7.4,36,9/27/1995,2.228434,17015
18000000,1738611,108,7.6,308,5/16/1995,9.822423,902
0,0,108,6.5,17,4/30/1995,1.100915,37557
0,180000000,99,6.4,249,8/11/1995,9.481338,9909
29500000,168840000,129,7.4,2470,12/29/1995,12.297305,63
0,0,50,6.8,4,9/18/1996,0.745542,78802
30000000,254134910,89,6,756,7/18/1995,14.404764,9598
0,0,121,6.4,16,11/8/1995,1.493361,47018
11000000,39363635,122,7.3,350,12/29/1995,6.891317,687
0,0,51,3.5,2,10/20/1995,0.114469,139405
0,0,101,6.1,149,11/17/1995,7.777735,33689
12000000,0,97,6.9,828,7/19/1995,9.882383,9603
0,676525,106,6.7,13,12/15/1995,0.894647,34615
0,0,104,6.9,50,12/29/1995,4.561387,31174
10000000,0,119,6.6,80,10/6/1995,9.87957,11443
19000000,0,117,6.3,30,12/29/1995,10.979269,35196
18000000,122195920,101,5.4,452,8/18/1995,10.870138,9312
20000000,21284514,106,6.7,177,5/20/1995,10.448481,577
10000000,23574130,116,6.5,38,10/6/1995,4.485958,11861
33000000,327311859,127,8.1,5915,9/22/1995,18.45743,807
55000000,346079773,81,6.7,1509,6/14/1995,13.280069,10530
0,0,96,5.9,10,5/5/1995,3.302524,8391
6000000,23341568,106,8.1,3334,7/19/1995,16.302466,629
0,0,93,6.3,3,11/22/1994,0.595949,117164
15000000,6700000,95,6.7,145,9/13/1995,15.899134,11448
0,0,116,7.7,11,1/1/1994,1.361286,49133
0,0,100,5.2,41,9/29/1995,5.982764,26441
0,0,115,6.1,15,5/19/1995,4.093443,97406
0,0,89,3,1,7/8/1997,0.307075,124057
0,17519169,103,6.3,39,11/2/1995,8.416802,9089
0,0,108,7.6,181,9/22/1994,10.168437,11010
0,0,100,6.5,2,9/29/1995,0.120789,99040
45000000,0,96,5.9,136,7/14/1995,10.673296,11359
20000000,0,101,5.8,65,1/12/1996,4.733526,17182
0,106269971,137,6.9,115,12/29/1995,7.137117,2054
0,0,89,6.2,192,1/12/1996,11.700115,10607
0,0,96,4.5,14,1/12/1996,2.174487,19760
15000000,0,88,4.4,110,1/12/1996,6.387469,9536
0,2409225,92,2.8,32,1/12/1996,2.49535,11525
0,0,85,5.4,11,10/22/1995,4.046208,40628
0,0,95,6,43,2/8/1995,2.518051,4482
3500000,28215918,91,7,513,4/26/1995,14.56965,10634
19000000,25836616,108,6.9,1644,1/19/1996,15.339153,755
50000000,11534477,91,4.1,54,11/3/1995,5.912223,11859
0,718490,96,7,36,10/6/1995,3.367276,28387
0,0,175,6.6,8,3/22/1995,1.479446,48750
0,19030691,87,5.1,27,1/26/1996,10.412194,20927
15000000,2042530,90,3.9,16,1/26/1996,2.936443,36929
20000000,5781885,108,6.1,154,9/8/1995,12.758848,9102
0,0,70,7.3,3,2/18/1995,0.133893,124626
0,0,111,6.1,74,11/15/1995,5.756462,27526
44000000,0,118,5.5,91,2/2/1996,6.010579,9623
0,0,85,7.5,20,1/1/1995,1.196256,46785
8000000,529766,116,6.7,87,12/1/1995,4.486179,400
900000,0,102,7.2,26,9/12/1995,2.030174,880
0,0,115,4.5,2,1/26/1996,0.252287,146599
0,0,108,0,0,11/22/1995,0.531159,188588
0,0,118,6.3,17,9/10/1995,2.15166,8447
38000000,10300000,129,6.3,86,2/2/1996,9.568604,10534
16000000,0,88,5.1,59,1/12/1996,4.814825,17414
0,32,87,6,124,2/1/1996,8.963037,13997
8169363,8175346,90,6.1,190,11/22/1995,6.848591,2086
0,0,91,6.7,3,9/14/1995,0.411424,61548
47000000,12379402,104,5.7,77,2/23/1996,12.866139,9095
14000000,19800000,100,4.5,113,10/26/1995,9.071127,12158
0,0,112,6.6,103,2/9/1996,4.670562,9283
50000000,150270147,108,5.7,459,2/9/1996,14.957626,9208
0,0,99,7.5,6,12/1/1995,0.513391,40154
3000000,0,98,7.9,695,5/31/1995,12.108196,406
0,0,105,5.6,13,12/6/1994,2.657647,45549
0,0,106,6.8,4,12/27/1995,0.638211,63076
0,0,111,6,67,2/16/1996,4.807223,11062
7000000,560069,91,6.8,285,2/21/1996,6.904831,13685
0,0,96,3.3,16,2/16/1996,3.329264,47475
18000000,0,106,5.3,22,2/23/1996,2.464425,2045
12000000,41205099,92,6.5,767,2/16/1996,9.592265,9614
24000000,182016617,135,7.3,397,5/28/1995,5.951077,688
0,0,104,5.1,5,11/7/1994,1.015068,11907
0,34327391,100,6.5,93,2/16/1996,6.902423,10874
0,0,95,7,2,12/8/1995,0.976707,89333
0,0,110,0,0,5/20/1995,0.001346,96357
72000000,210000000,177,7.7,3404,5/24/1995,20.755149,197
1300000,28262574,114,8.1,2632,2/7/1976,14.092713,103
7500000,32392047,91,6.5,245,1/30/1995,12.314278,33542
35000000,0,108,5.8,37,2/23/1996,2.938293,43566
0,0,114,7.5,2,9/13/1995,0.372697,71754
13365000,0,106,7,23,1/31/1995,1.254885,43612
0,1,117,7.3,4,6/8/1995,0.243986,51352
0,0,99,6.9,19,1/20/1995,6.178497,16934
0,0,92,5.4,11,3/8/1996,2.891918,10324
25000000,6278139,113,5.1,7,9/29/1995,1.522412,78406
0,0,100,5.2,21,3/22/1996,1.317878,55731
0,0,90,7,7,12/6/1992,0.86539,32119
40000000,70100000,117,5.4,139,6/30/1992,6.506983,11066
